id,created_at,category,price,title,vendor
1,2017-07-19T19:44:56.000Z,Gizmo,29.463,Rustic Paper Wallet,"Swaniawski, Casper and Hilll"
2,2019-04-11T08:49:35.000Z,Doohickey,70.08,Small Marble Shoes,Balistreri-Ankunding
3,2018-09-08T22:03:20.000Z,Doohickey,35.389,Synergistic Granite Chair,"Murray, Watsica and Wunsch"
4,2018-03-06T02:53:09.000Z,Doohickey,73.992,Enormous Aluminum Shirt,Regan Bradtke and Sons
5,2016-10-03T01:47:39.000Z,Gadget,82.745,Enormous Marble Wallet,"Price, Schultz and Daniel"
6,2017-03-29T05:43:40.000Z,Doohickey,64.957,Small Marble Hat,Nolan-Wolff
7,2017-06-03T03:07:28.000Z,Doohickey,98.819,Aerodynamic Linen Coat,Little-Pagac
8,2018-04-30T15:03:53.000Z,Doohickey,65.892,Enormous Steel Watch,Senger-Stamm
9,2019-02-07T08:26:25.000Z,Widget,58.313,Practical Bronze Computer,Keely Stehr Group
10,2017-01-09T09:51:20.000Z,Gizmo,31.786,Mediocre Wooden Table,"Larson, Pfeffer and Klocko"
11,2018-05-28T08:02:54.000Z,Gadget,88.305,Ergonomic Silk Coat,"Upton, Kovacek and Halvorson"
12,2017-11-12T14:51:16.000Z,Gizmo,77.343,Sleek Paper Toucan,Mueller-Dare
13,2016-05-24T23:09:46.000Z,Gizmo,75.086,Synergistic Steel Chair,Mr. Tanya Stracke and Sons
14,2017-12-31T14:41:56.000Z,Widget,25.099,Awesome Concrete Shoes,McClure-Lockman
15,2016-09-08T14:42:57.000Z,Widget,25.099,Aerodynamic Paper Computer,Friesen-Anderson
16,2017-01-30T22:00:25.000Z,Gadget,44.074,Incredible Bronze Pants,"Okuneva, Kutch and Monahan"
17,2017-01-31T11:05:14.000Z,Doohickey,53.291,Enormous Wool Car,"Hilpert, Jacobs and Hauck"
18,2017-02-11T03:45:40.000Z,Gadget,54.602,Lightweight Paper Bottle,Wilkinson-Gottlieb
19,2016-11-06T23:27:12.000Z,Doohickey,42.671,Rustic Concrete Bottle,"Gibson, Turner and Douglas"
20,2017-08-25T18:18:36.000Z,Gizmo,24.884,Intelligent Wooden Gloves,Ora Monahan and Sons
21,2016-06-30T07:30:53.000Z,Gadget,40.383,Lightweight Wool Bag,Heaney-Windler
22,2017-11-24T20:14:28.000Z,Gizmo,21.425,Enormous Marble Shoes,"Mayer, Kiehn and Turcotte"
24,2017-02-08T05:19:53.000Z,Doohickey,74.871,Synergistic Marble Keyboard,Claude Thompson Group
25,2018-10-17T03:54:33.000Z,Widget,45.748,Durable Marble Watch,"Ritchie, Haley and Pacocha"
26,2017-11-02T09:54:01.000Z,Widget,45.416,Ergonomic Aluminum Plate,Tia Goyette Group
27,2019-01-25T13:28:28.000Z,Gadget,85.016,Awesome Aluminum Table,Alfredo Kuhlman Group
28,2018-03-13T11:24:34.000Z,Gizmo,45.416,Rustic Marble Bottle,"Morissette, Bartoletti and Cummings"
29,2017-09-14T15:30:37.000Z,Widget,82.383,Durable Steel Toucan,Odessa Emmerich Inc
30,2016-10-22T11:57:21.000Z,Gadget,42.783,Ergonomic Paper Wallet,Miles Ryan Group
31,2018-06-05T19:01:10.000Z,Doohickey,70.436,Rustic Rubber Clock,"Quigley, Von and Will"
32,2017-11-15T04:21:04.000Z,Gadget,71.43,Ergonomic Silk Keyboard,Reid Pfannerstill and Sons
33,2016-05-30T20:38:52.000Z,Doohickey,31.83,Small Plastic Computer,Spinka-Stokes
34,2016-04-28T22:08:19.000Z,Gadget,49.536,Heavy-Duty Wooden Clock,Eugenia Kunze LLC
35,2017-09-14T22:13:40.000Z,Doohickey,47.691,Mediocre Cotton Coat,Cassin-Collins
36,2016-04-26T19:29:55.000Z,Gizmo,87.291,Mediocre Plastic Clock,"Wolf, Beahan and Thiel"
37,2019-04-15T13:34:19.000Z,Gadget,53.405,Incredible Granite Toucan,"Parker, OConnell and Beahan"
38,2017-01-09T14:54:58.000Z,Gadget,44.046,Lightweight Leather Gloves,"Bednar, Berge and Boyle"
39,2019-01-06T03:22:33.000Z,Gizmo,76.388,Durable Rubber Computer,Carmela Douglas Inc
40,2018-06-22T04:29:03.000Z,Gizmo,66.442,Small Copper Plate,Maegan Casper Group
41,2018-07-16T01:10:38.000Z,Widget,42.339,Aerodynamic Paper Coat,Robyn Padberg Inc
42,2016-09-17T18:21:58.000Z,Widget,25.336,Awesome Rubber Wallet,Schamberger-Maggio
43,2016-07-06T03:02:57.000Z,Widget,50.902,Lightweight Marble Bag,Francis Wolff Group
44,2016-08-25T21:35:12.000Z,Widget,50.902,Gorgeous Concrete Shoes,Carol Marvin LLC
45,2016-05-04T13:31:42.000Z,Doohickey,78.7,Sleek Wool Wallet,"Volkman, Greenfelder and Kiehn"
46,2016-09-13T06:34:33.000Z,Gadget,78.7,Rustic Linen Keyboard,Una Fadel Group
47,2017-05-19T22:47:54.000Z,Doohickey,56.051,Aerodynamic Cotton Bottle,Annetta Wyman and Sons
49,2017-06-02T08:07:59.000Z,Gadget,87.619,Incredible Silk Shoes,Schuster-Wyman
50,2018-06-19T22:53:03.000Z,Widget,35.76,Durable Wool Toucan,"Hartmann, Mohr and Stiedemann"
51,2016-07-07T16:23:10.000Z,Gizmo,50.434,Awesome Granite Car,Keshaun Mueller Group
52,2017-05-22T07:39:32.000Z,Widget,69.117,Ergonomic Marble Hat,Koch-Ruecker
53,2016-11-04T00:33:07.000Z,Doohickey,29.517,Mediocre Cotton Toucan,Jacobson-Daniel
55,2016-09-05T23:51:24.000Z,Gadget,63.848,Mediocre Rubber Shoes,"Considine, Lehner and Maggio"
56,2017-06-28T13:30:14.000Z,Doohickey,24.248,Awesome Silk Car,Hackett-Reynolds
57,2018-03-01T02:39:56.000Z,Gizmo,81.615,Gorgeous Bronze Hat,"Kuphal, Schowalter and Bogan"
58,2017-12-11T05:22:00.000Z,Gadget,52.097,Practical Steel Table,"Smitham, Dach and Bode"
60,2017-12-16T11:14:43.000Z,Doohickey,19.868,Rustic Paper Car,Stroman-Carroll
61,2017-01-24T03:11:46.000Z,Gizmo,15.692,Mediocre Paper Car,Jordi Effertz LLC
62,2018-12-06T01:14:59.000Z,Widget,89.013,Awesome Iron Hat,Von-Gulgowski
