id,created_at,user_id,product_id,discount,quantity
9,2017-05-03T16:00:54.000Z,1,184,3.59,3
14,2017-05-25T20:50:37.000Z,3,139,,4
16,2017-12-14T11:28:30.000Z,3,68,,1
35,2017-10-10T01:37:18.000Z,7,21,,5
37,2017-08-30T12:40:52.000Z,7,17,,4
44,2017-10-01T14:47:29.000Z,8,101,,6
45,2017-09-25T00:11:10.000Z,8,141,,5
51,2017-12-06T03:46:28.000Z,8,114,,2
55,2017-08-16T09:51:35.000Z,10,149,,5
71,2017-09-01T11:51:46.000Z,12,161,,4
72,2017-07-18T10:51:55.000Z,12,13,,5
75,2017-04-10T23:33:10.000Z,12,13,,2
92,2017-03-26T08:45:35.000Z,17,147,,1
93,2017-06-18T11:15:50.000Z,17,15,,4
95,2017-09-12T15:12:48.000Z,17,76,,4
100,2017-03-28T22:58:05.000Z,17,84,,0
102,2017-12-02T04:32:23.000Z,17,95,,2
107,2017-05-07T23:40:43.000Z,17,12,,3
108,2017-12-01T06:15:20.000Z,17,127,,18
110,2017-05-12T22:58:40.000Z,17,102,,4
115,2017-08-30T06:13:52.000Z,18,191,,6
120,2017-03-29T21:28:18.000Z,18,84,,1
123,2017-11-19T17:22:48.000Z,18,131,,3
124,2017-06-13T12:29:10.000Z,18,26,,5
130,2017-05-13T15:57:14.000Z,20,100,5.06,3
137,2017-02-25T07:42:53.000Z,21,126,,1
139,2017-07-31T20:42:22.000Z,21,128,,3
140,2017-08-25T10:54:07.000Z,21,4,,6
145,2017-03-18T07:40:09.000Z,22,120,,1
146,2017-09-29T19:13:15.000Z,22,189,,6
181,2017-07-05T11:32:31.000Z,32,93,,6
196,2017-11-05T11:07:50.000Z,35,79,,3
203,2017-08-17T18:17:48.000Z,36,171,,6
210,2017-05-13T15:57:41.000Z,37,46,,6
212,2017-10-22T01:27:38.000Z,37,111,,6
213,2017-07-31T17:23:30.000Z,37,150,,4
215,2017-03-17T07:57:12.000Z,37,186,,1
216,2017-10-12T03:02:41.000Z,37,86,,5
